name,quantity,set_code,finish,collector_number,purchase_price
"Mikaeus, the Lunarch",1,moc,nonFoil,197,1.29
"Militant Inquisitor",1,soi,nonFoil,26,0.35
"Mindeye Drake",1,gtc,nonFoil,43,0.35
"Mindless Automaton",1,moc,nonFoil,365,0.35
"Minotaur Sureshot",1,akh,nonFoil,143,0.35
"Mirkwood Spider",1,ltr,nonFoil,178,0.39
"Mirror-Style Master",1,moc,nonFoil,32,0.49
"Mischievous Sneakling",1,ecl,foil,235,0.35
"Mischievous Sneakling",1,ecl,nonFoil,235,0.35
"Mistform Shrieker",1,ons,nonFoil,96,0.35
"Mistmeadow Council",1,ecl,nonFoil,183,0.35
"Mobile Garrison",1,aer,nonFoil,165,0.35
"Mobilizer Mech",1,neo,nonFoil,65,0.39
"Mog, Moogle Warrior",1,fic,nonFoil,89,0.49
"Molten Man, Inferno Incarnate",1,spm,nonFoil,84,0.35
"Molting Snakeskin",1,ktk,nonFoil,80,0.35
"Monastery Flock",1,ktk,nonFoil,47,0.35
"Moonblade Shinobi",1,mh1,nonFoil,59,0.35
"Moonlit Lamenter",2,ecl,nonFoil,26,0.35
"Moorland Drifter",1,soi,nonFoil,27,0.35
"Morningtide",1,tor,nonFoil,10,0.79
"Mortify",1,fic,nonFoil,327,0.49
"Mosquito Guard",1,mor,nonFoil,18,0.35
"Mossfire Valley",1,moc,nonFoil,414,0.49
"Mountain",9,cmr,nonFoil,508,0.49
"Mountain",1,mom,nonFoil,280,0.49
"Mountain",23,blb,nonFoil,375,0.49
"Mountain",1,j25,nonFoil,90,0.35
"Mountain",11,fin,nonFoil,305,0.49
"Murder",1,cmr,nonFoil,134,0.35
"Murderous Compulsion",1,inr,foil,126,0.35
"Muzzio's Preparations",1,cns,nonFoil,7,0.35
"Myojin of Night's Reach",1,chk,nonFoil,126,2.29
"Mystic of the Hidden Way",1,ktk,nonFoil,48,0.35
"Nagging Thoughts",1,soi,nonFoil,74,0.35
"Nantuko Cultivator",1,tor,nonFoil,133,0.49
"Nantuko Mentor",1,ody,nonFoil,255,0.49
"Nantuko Shaman",1,tsr,nonFoil,221,0.35
"Naturalize",2,isd,nonFoil,197,0.39
"Necromancer's Familiar",1,mh2,nonFoil,94,0.35
"Nephalia Seakite",1,dka,nonFoil,43,0.35
"Nesting Grounds",1,ecc,nonFoil,155,0.49
"Niblis of the Mist",1,dka,nonFoil,15,0.35
"Night Market Guard",2,aer,nonFoil,166,0.35
"Nightbird's Clutches",1,uma,nonFoil,141,0.35
"Nightmare",2,10e,nonFoil,164,0.49
"Nightshade Assassin",1,tsp,nonFoil,121,0.39
"Nimana Skitter-Sneak",1,znr,nonFoil,116,0.35
"Nimbus Naiad",1,ths,nonFoil,56,0.35
"Noble Templar",1,cns,nonFoil,75,0.35
"Nomad Outpost",1,fic,nonFoil,409,0.79
"Nyxborn Shieldmate",1,bng,nonFoil,21,0.35
"Odric, Lunarch Marshal",1,cmr,nonFoil,379,0.99
"Oft-Nabbed Goat",1,ecc,nonFoil,11,0.49
"On Serra's Wings",1,dom,nonFoil,28,0.59
"Orcish Cannonade",1,tsr,nonFoil,178,0.35
"Oreskos Explorer",1,cmr,nonFoil,381,0.35
"Overkill",2,fin,nonFoil,109,0.49
"Overrun",1,ody,nonFoil,260,0.49
"Overwhelming Stampede",1,c19,nonFoil,175,3.99
"Pacifism",3,ons,nonFoil,47,0.35
"Painful Truths",1,otc,nonFoil,146,0.49
"Painted Bluffs",3,akh,nonFoil,246,0.35
"Palace Jailer",1,fic,nonFoil,247,0.35
"Paladin's Arms",1,fin,nonFoil,28,0.35
"Pallid Mycoderm",2,plc,nonFoil,10,0.35
"Panacea",1,mmq,nonFoil,308,0.35
"Paperfin Rascal",1,lrw,nonFoil,77,0.35
"Parish-Blade Trainee",1,vow,nonFoil,29,0.35
"Patagia Golem",1,7ed,foil,310★,
"Patchwork Gnomes",1,ody,nonFoil,306,0.35
"Path of Ancestry",1,moc,nonFoil,418,0.35
"Path of Ancestry",1,blc,nonFoil,322,0.39
"Path of Ancestry",1,fic,nonFoil,411,0.39
"Path of the Pyromancer",1,moc,nonFoil,34,3.99
"Pathmaker Initiate",1,akh,nonFoil,146,0.35
"Peach Garden Oath",1,8ed,foil,34★,
"Pearlspear Courier",1,ons,nonFoil,48,0.35
"Peel from Reality",1,rav,nonFoil,61,0.35
"Peer Pressure",1,ons,nonFoil,101,2.99
"Pendant of Prosperity",1,c19,nonFoil,56,0.59
"Perfect Intimidation",1,ecl,nonFoil,115,0.35
"Personify",1,ecl,nonFoil,28,0.35
"Phantatog",1,ody,nonFoil,291,0.35
"Phantom Wurm",1,tsp,foil,211,0.35
"Phoenix Down",1,fin,nonFoil,29,0.35
"Phyrexian Hulk",1,8ed,nonFoil,310,0.35
"Pin to the Earth",1,jou,nonFoil,45,0.35
"Pit of Offerings",1,lci,nonFoil,278,0.69
"Pitiless Fists",1,ecl,nonFoil,187,0.35
"Pitiless Gorgon",1,grn,nonFoil,218,0.35
"Plague Beetle",1,8ed,foil,154★,
"Plains",1,fin,nonFoil,296,0.49
"Plains",13,fin,nonFoil,295,0.49
"Plains",1,mom,nonFoil,277,0.49
"Plains",14,cmr,nonFoil,504,0.49
"Plummet",1,m13,nonFoil,179,0.35
"Plummet",1,mid,nonFoil,193,0.35
"Plundering Pirate",1,lci,nonFoil,160,0.35
"Ponyback Brigade",1,ktk,nonFoil,191,0.35
"Power Armor",1,inv,nonFoil,309,0.35
"Predator's Strike",1,j25,nonFoil,699,0.35
"Press for Answers",1,soi,nonFoil,80,0.35
"Prideful Feastling",1,ecl,nonFoil,238,0.35
"Pridemalkin",1,moc,nonFoil,308,0.35
"Priest of Fell Rites",1,fic,nonFoil,328,0.49
"Prismatic Lens",1,tsp,nonFoil,262,0.99
"Prizefighter Construct",1,aer,nonFoil,172,0.35
"Prompto Argentum",1,fin,nonFoil,148,0.35
"Prosperous Bandit",1,blc,nonFoil,25,0.49
"Protective Bubble",1,lrw,nonFoil,80,0.99
"Prowler's Helm",1,ths,nonFoil,219,1.49
"Psychic Spiral",1,rtr,nonFoil,47,0.35
"Puca's Covenant",1,ecc,nonFoil,18,0.49
"Pulse of the Tangle",1,dst,nonFoil,80,0.49
"Puppet Master",2,leg,nonFoil,69,2.29
"PuPu UFO",1,fin,nonFoil,266,0.59
"Push the Limit",1,dft,nonFoil,143,0.35
"Putrefy",2,ecc,nonFoil,131,0.35
"Putrid Imp",1,tor,nonFoil,77,1.79
"Pyreswipe Hawk",1,blc,nonFoil,26,0.49
"Quickchange",1,rav,nonFoil,62,0.35
"Rabanastre, Royal City",4,fin,nonFoil,287,0.35
"Rabanastre, Royal City",1,fin,foil,287,0.35
"Racers' Ring",1,snc,nonFoil,253,0.35
"Rackling",1,nem,nonFoil,136,0.35
"Radiant Epicure",2,mh2,nonFoil,98,0.35
"Ragemonger",1,bng,nonFoil,153,0.35
"Raging Ravine",1,blc,nonFoil,324,0.49
"Raid Bombardment",2,uma,nonFoil,142,0.35
"Rain of Blades",1,scg,nonFoil,20,0.35
"Rain of Embers",1,rav,nonFoil,138,0.35
"Raise the Alarm",1,md1,nonFoil,8,0.39
"Rakdos Carnarium",1,ecc,nonFoil,161,0.69
"Rakish Scoundrel",1,mkm,nonFoil,225,0.35
"Raucous Carnival",1,dsk,nonFoil,266,0.35
"Rayami, First of the Fallen",1,c19,foil,48,
"Reach of Shadows",1,frf,nonFoil,81,0.35
"Reap and Sow",1,dst,nonFoil,81,0.59
"Reap the Seagraf",2,dka,nonFoil,72,0.35
"Reaper of Flight Moonsilver",1,soi,nonFoil,36,0.35
"Redcap Thief",1,woe,nonFoil,147,0.35
"Rejoin the Fight",1,fic,nonFoil,49,0.49
"Relentless Assault",1,mb2,nonFoil,132,3.99
"Relic Seeker",1,cmr,nonFoil,382,0.49
"Reliquary Tower",1,blc,nonFoil,132,5.99
"Relm's Sketching",1,fin,nonFoil,67,0.35
"Reluctant Dounguard",1,ecl,nonFoil,31,0.35
"Response // Resurgence",1,cmr,nonFoil,449,0.59
"Restoration Angel",1,moc,nonFoil,201,0.69
"Retrieve the Esper",2,fin,nonFoil,68,0.35
"Return to Dust",1,cmr,nonFoil,43,0.35
"Return to Nature",1,moc,nonFoil,309,0.49
"Revolutionist",1,mh2,nonFoil,139,0.35
"Reyav, Master Smith",1,cmr,nonFoil,290,0.35
"Ride Down",1,ktk,nonFoil,194,0.35
"Riftburst Hellion",1,mkm,nonFoil,228,0.35
"Righteous Blow",1,grn,nonFoil,23,0.35
"Rikku, Resourceful Guardian",1,fic,nonFoil,41,0.49
"Ring of Thune",1,cmr,nonFoil,468,0.35
"Ring of Valkas",1,cmr,nonFoil,469,0.99
"Riptide Entrancer",1,ons,nonFoil,108,0.79
"Riptide Survivor",1,scg,nonFoil,48,0.35
"Rise of the Dark Realms",1,fic,nonFoil,283,4.99
"Riverguard's Reflexes",2,ecl,nonFoil,33,0.35
"Riveteers Overlook",1,ecc,nonFoil,162,0.35
"Road Rage",1,dft,nonFoil,145,0.35
"Roaring Earth",1,neo,nonFoil,204,0.69
"Roaring Slagwurm",1,dst,nonFoil,83,0.59
"Rocketeer Boostbuggy",1,dft,nonFoil,220,0.35
"Rocky Roads",1,dft,nonFoil,261,0.35
"Rogue's Passage",1,cmr,nonFoil,489,0.79
"Rolling Hamsphere",1,blc,nonFoil,39,0.59
"Rooftop Percher",1,ecl,nonFoil,2,0.35
"Root Elemental",1,scg,nonFoil,127,0.49
"Rootbound Crag",1,ecc,nonFoil,163,0.49
"Rorix Bladewing",1,ema,nonFoil,145,0.49
"Rosa, Resolute White Mage",1,fin,nonFoil,555,3.99
"Rotting Fensnake",1,isd,nonFoil,113,0.35
"Rubblebelt Boar",2,grn,nonFoil,114,0.35
"Rugged Highlands",1,fdn,nonFoil,265,0.35
"Rugged Prairie",1,fic,nonFoil,417,0.69
"Ruin Grinder",1,fic,nonFoil,297,0.49
"Ruinous Ultimatum",1,fic,nonFoil,329,2.49
"Run Over",1,dft,nonFoil,179,0.35
"Run Wild",1,ons,foil,279,0.35
"Rupture Spire",1,cmr,nonFoil,490,
"Sabertooth Outrider",1,dtk,nonFoil,152,0.35
"Sabotender",1,fin,nonFoil,153,0.35
"Sacred Peaks",1,fic,nonFoil,418,0.35
"Sadistic Augermage",1,rav,nonFoil,103,0.35
"Sage's Nouliths",1,fin,nonFoil,70,0.35
"Sagu Mauler",1,c19,nonFoil,200,0.49
"Sahagin",1,fin,nonFoil,71,0.35
"Saltfield Recluse",1,plc,nonFoil,16,0.35
"Samurai Enforcers",1,chk,nonFoil,42,0.35
"Samurai's Katana",2,fin,nonFoil,154,0.35
"Sandcrafter Mage",1,dtk,nonFoil,33,0.35
"Sandsower",1,rav,nonFoil,28,0.35
"Sanguine Savior",1,mkm,nonFoil,230,0.35
"Sanitarium Skeleton",1,cmr,nonFoil,148,0.35
"Satyr Piper",1,ths,nonFoil,175,0.35
"Savage Lands",1,ecc,nonFoil,165,0.79
"Savage Punch",1,ktk,nonFoil,147,0.35
"Savage Surge",1,ths,nonFoil,176,0.35
"Scarblade Scout",1,ecl,foil,118,0.35
"Scaretiller",1,c19,nonFoil,57,0.35
"Scion of the Ur-Dragon",1,tsp,nonFoil,246,10.99
"Scorch the Fields",2,dka,nonFoil,103,0.35
"Scout the Borders",1,ktk,nonFoil,148,0.35
"Screamreach Brawler",1,dtk,nonFoil,155,0.35
"Scythe of the Wretched",1,mrd,nonFoil,239,6.49
"Searchlight Geist",1,avr,nonFoil,119,0.35
"Secluded Steppe",1,cmr,nonFoil,491,0.35
"Secrets of Paradise",1,cns,nonFoil,10,0.35
"Segmented Krotiq",1,dtk,nonFoil,202,0.35
"Seismic Assault",1,7ed,nonFoil,216,0.99
"Semester's End",1,moc,nonFoil,204,1.79
"Sentinel Dispatch",1,cns,nonFoil,11,0.35
"Sentinels of Glen Elendra",1,lrw,nonFoil,84,0.35
"Sephiroth, Planet's Heir",1,fin,foil,553,
"Sephiroth's Intervention",3,fin,nonFoil,116,0.35
"Serra Angel",1,8ed,nonFoil,45,1.29
"Setessan Griffin",1,ths,nonFoil,30,0.35
"Setzer, Wandering Gambler",1,fic,nonFoil,93,0.49
"Severed Legion",1,8ed,foil,163★,
"Sewer Shambler",2,rtr,nonFoil,75,0.35
"Shadow, Mysterious Assassin",1,fic,nonFoil,50,0.49
"Shadows of the Past",1,ori,nonFoil,118,0.39
"Shady Informant",1,mkm,nonFoil,231,0.35
"Shalai and Hallar",1,moc,nonFoil,10,9.99
"Shambling Cie'th",3,fin,nonFoil,117,0.35
"Shantotto, Tactician Magician",1,fin,nonFoil,241,0.35
"Sheltered Thicket",1,ecc,nonFoil,167,0.49
"Shimmering Grotto",1,isd,nonFoil,246,0.35
"Shineshadow Snarl",1,fic,nonFoil,422,0.59
"Shinestriker",2,ecl,nonFoil,68,0.35
"Shinra Reinforcements",3,fin,nonFoil,118,0.35
"Shivan Zombie",1,inv,nonFoil,271,0.35
"Shocker, Unshakable",1,spm,nonFoil,89,0.35
"Shore Lurker",1,ecl,foil,34,0.35
"Siegfried, Famed Swordsman",1,fic,nonFoil,51,0.49
"Sightless Ghoul",1,dka,nonFoil,73,0.35
"Silent Artisan",1,ths,nonFoil,31,0.35
"Silent Specter",1,ons,nonFoil,169,0.59
"Silumgar Assassin",1,c19,nonFoil,128,0.49
"Silverclaw Griffin",1,dka,nonFoil,21,0.35
"Simic Guildgate",1,c19,nonFoil,275,0.35
"Singe-Mind Ogre",1,arb,nonFoil,45,0.35
"Sinister Starfish",1,mh2,nonFoil,99,0.35
"Sizzling Changeling",1,ecl,nonFoil,155,0.35
"Skinrender",1,ecc,nonFoil,86,0.35
"Skinthinner",1,c19,nonFoil,129,0.35
"Skittering Monstrosity",1,tsr,nonFoil,137,0.35
"Skull of Orm",1,8ed,foil,313★,
"Skyclave Pick-Axe",1,znr,nonFoil,309,0.35
"Skyknight Legionnaire",1,grn,nonFoil,198,0.35
"Skyline Predator",1,rtr,nonFoil,50,0.35
"Skyward Spider",1,spm,nonFoil,146,0.35
"Skywhaler's Shot",1,cmr,nonFoil,46,0.35
"Slagwoods Bridge",1,mh2,nonFoil,256,0.59
"Slash of Light",2,fin,nonFoil,32,0.35
"Slayers' Stronghold",1,cmr,nonFoil,494,0.59
"Slurrk, All-Ingesting",1,moc,nonFoil,312,0.35
"Smoldering Marsh",1,fic,nonFoil,425,0.59
"Snapping Gnarlid",2,j25,nonFoil,714,0.35
"Snort",1,fic,nonFoil,58,0.49
"So Shiny",1,mh2,nonFoil,63,0.35
"Sokenzan Smelter",1,neo,foil,164,0.35
"Sol Ring",1,blc,nonFoil,129,2.49
"Soltari Foot Soldier",1,tmp,nonFoil,43,0.35
"Soulbright Seeker",1,ecl,nonFoil,157,0.35
"Sparring Mummy",1,akh,nonFoil,29,0.35
"Specimen Collector",1,mh2,nonFoil,64,0.35
"Spell Snare",2,ecl,foil,71,0.35
"Sphinx's Disciple",1,bng,nonFoil,51,0.35
"Spider-Bot",1,spm,nonFoil,173,0.35
"Spider-Man No More",1,spm,nonFoil,45,0.35
"Spine of Ish Sah",1,blc,nonFoil,285,0.49
"Spiral into Solitude",1,ecl,nonFoil,36,0.35
"Spirit Mantle",1,cmr,nonFoil,385,5.49
"Spiritmonger",1,apc,nonFoil,121,3.99
"Spiteful Shadows",1,dka,nonFoil,75,0.35
"Sporemound",1,j25,nonFoil,719,0.59
"Squawkroaster",1,ecl,nonFoil,160,0.35
"Sram, Senior Edificer",1,cmr,nonFoil,386,4.49
"Stalactite Dagger",1,ecl,nonFoil,261,0.35
"Stalwart Aven",1,ori,nonFoil,32,0.35
"Stasis",1,4ed,nonFoil,104,11.99
"Stay Hidden, Stay Silent",1,dsk,nonFoil,291,0.35
"Sticky Fingers",1,plst,nonFoil,SNC-124,0.79
"Stitched Mangler",1,inr,foil,87,0.35
"Stitcher's Supplier",1,fic,nonFoil,287,0.79
"Stoic Grove-Guide",1,ecl,nonFoil,243,0.35
"Stoic Grove-Guide",1,ecl,foil,243,0.35
"Stone Quarry",1,cmr,nonFoil,495,0.35
"Stormcloud Djinn",1,tsr,nonFoil,90,0.35
"Strago and Relm",1,fic,nonFoil,59,0.49
"Strangling Soot",1,tsp,nonFoil,132,0.35
"Stratosoarer",2,ecl,nonFoil,72,0.35
"Strength of Arms",1,soi,nonFoil,40,0.35
"Sudden Substitution",1,c19,nonFoil,11,3.49
"Suffocating Blast",1,apc,nonFoil,124,0.49
"Sulfurous Springs",1,fic,nonFoil,427,2.29
"Sultai Charm",1,c19,nonFoil,202,0.35
"Sumala Woodshaper",1,grn,nonFoil,200,0.35
"Summit Prowler",1,dtk,nonFoil,160,0.35
"Summit Prowler",1,ktk,nonFoil,121,0.35
"Summit Sentinel",2,ecl,nonFoil,73,0.35
"Summon: Esper Valigarmanda",1,fic,nonFoil,60,0.49
"Summon: Fat Chocobo",1,fin,nonFoil,202,0.35
"Summon: Kujata",1,fic,nonFoil,199,4.49
"Sun Clasp",1,vis,nonFoil,21,0.35
"Sun Titan",1,fic,nonFoil,254,0.99
"Sundering Eruption // Volcanic Fissure",1,mh3,nonFoil,248,1.99
"Sundering Titan",1,dst,nonFoil,146,2.99
"Sungrass Prairie",1,moc,nonFoil,427,0.49
"Sunhome, Fortress of the Legion",1,c21,nonFoil,319,0.35
"Sunken City",1,4ed,nonFoil,106,0.35
"Sunlit Marsh",1,fic,nonFoil,431,0.35
"Sunscorch Regent",1,moc,nonFoil,209,0.49
"Sunscorched Divide",1,fic,nonFoil,433,0.49
"Suplex",1,fin,foil,164,0.35
"Suplex",1,fin,nonFoil,164,0.35
"Sure Strike",1,grn,nonFoil,118,0.35
"Surly Farrier",2,ecl,nonFoil,196,0.35
"Suspension Field",1,ktk,nonFoil,25,0.35
"Swamp",1,fin,nonFoil,302,0.49
"Swamp",12,fin,nonFoil,300,0.59
"Swamp",34,j25,nonFoil,87,0.35
"Swamp",34,m13,nonFoil,241,0.49
"Sweettooth Witch",1,woe,nonFoil,111,0.35
"Swiftblade Vindicator",1,2xm,nonFoil,221,0.49
"Swords to Plowshares",1,moc,nonFoil,211,2.49
"Tail Slash",2,dtk,nonFoil,161,0.35
"Take Heart",1,grn,nonFoil,28,0.35
"Talisman of Conviction",1,fic,nonFoil,363,0.69
"Talon Trooper",1,arb,nonFoil,14,0.35
"Talons of Falkenrath",1,dka,nonFoil,105,0.35
"Tam, Mindful First-Year",1,ecl,nonFoil,245,0.49
"Tanglewalker",1,dst,nonFoil,86,0.35
"Tapping at the Window",1,mid,nonFoil,201,0.35
"Teapot Slinger",1,blb,nonFoil,157,0.35
"Temple of Abandon",1,blc,nonFoil,338,0.59
"Temple of Abandon",1,moc,nonFoil,430,0.49
"Temple of Plenty",1,moc,nonFoil,435,0.49
"Temple of the False God",1,c19,nonFoil,280,0.35
"Temple of the False God",1,fic,nonFoil,438,0.35
"Temple of the False God",1,moc,nonFoil,437,0.35
"Temple of Triumph",1,moc,nonFoil,438,0.49
"Temporal Cleansing",2,ecl,nonFoil,78,0.35
"Tempt with Discovery",1,c19,nonFoil,183,2.99
"Tempting Wurm",1,ons,nonFoil,291,14.99
"Temur Battle Rage",1,cmr,nonFoil,417,0.39
"Tend the Sprigs",1,ecl,nonFoil,197,0.35
"Terminate",1,ecc,nonFoil,134,0.99
"Terminate",1,2x2,nonFoil,284,0.79
"Terra, Herald of Hope",1,fic,foil,223,
"Terramorphic Expanse",1,ecc,nonFoil,169,0.35
"Territorial Scythecat",1,j25,nonFoil,723,0.49
"Terror",2,dmr,nonFoil,312,0.35
"Terrus Wurm",1,rtr,nonFoil,80,0.35
"Tezzeret's Gambit",1,c19,nonFoil,98,0.39
"Thallid Shell-Dweller",1,tsr,nonFoil,237,0.35
"Thaumatog",1,ody,nonFoil,295,0.35
"The Crystal's Chosen",1,fin,nonFoil,14,0.35
"The Falcon, Airship Restored",1,fic,nonFoil,45,0.49
"The Scorpion God",1,ecc,nonFoil,133,0.99
"The Warring Triad",1,fic,nonFoil,99,1.99
"Thelonite Hermit",1,c19,nonFoil,184,0.49
"Thieving Amalgam",1,c19,nonFoil,21,0.79
"Think Tank",1,ody,nonFoil,104,0.35
"Thirst for Identity",1,ecl,nonFoil,79,0.35
"Thornwood Falls",1,c19,nonFoil,283,0.35
"Thought Sponge",1,c19,nonFoil,12,0.49
"Thoughtweft Lieutenant",1,ecl,nonFoil,246,0.35
"Thousand Winds",1,ktk,nonFoil,58,0.49
"Thran Dynamo",1,blc,nonFoil,290,4.99
"Thran Dynamo",1,c19,nonFoil,225,4.49
"Thresher Lizard",2,akh,nonFoil,150,0.35
"Thrill of Possibility",1,fdn,nonFoil,210,0.35
"Thrill of the Hunt",1,tsr,nonFoil,241,0.35
"Throttle",1,ktk,nonFoil,93,0.35
"Thunderous Velocipede",1,dft,nonFoil,183,2.49
"Thunderstaff",1,dst,foil,153,0.35
"Tiana, Ship's Caretaker",1,cmr,nonFoil,454,0.35
"Tidus, Blitzball Star",1,fin,nonFoil,246,0.35
"Timberland Guide",1,mid,nonFoil,202,0.35
"Time Elemental",1,4ed,nonFoil,108,0.59
"Tireless Hauler // Dire-Strain Brawler",1,dbl,nonFoil,203,0.35
"Tizerus Charger",1,mh2,nonFoil,101,0.35
"Together Forever",1,moc,nonFoil,212,0.49
"Tome Raider",1,eld,nonFoil,68,0.35
"Torch Courier",1,grn,nonFoil,119,0.35
"Torch Drake",1,gpt,nonFoil,38,0.35
"Torpid Moloch",1,rav,nonFoil,147,0.35
"Tourach's Canticle",1,mh2,nonFoil,103,0.35
"Tower of Champions",1,mrd,nonFoil,265,0.49
"Tower of Fortunes",1,mrd,nonFoil,267,0.79
"Toxic Abomination",1,dmu,nonFoil,112,0.35
"Tragic Arrogance",1,fic,nonFoil,258,0.49
"Trailtracker Scout",1,blc,nonFoil,35,0.59
"Tranquil Cove",1,ktk,nonFoil,246,0.35
"Tranquil Thicket",1,blc,nonFoil,350,0.35
"Transguild Promenade",1,cmr,nonFoil,499,0.35
"Traveling Philosopher",1,ths,nonFoil,34,0.35
"Tree of Perdition",1,ecc,nonFoil,49,2.99
"Treno, Dark City",6,fin,nonFoil,290,0.35
"Triskelion",1,moc,nonFoil,387,0.49
"Triton Shorethief",1,ths,nonFoil,70,0.35
"Trueheart Twins",1,akh,nonFoil,153,0.35
"Trygon Predator",1,c15,nonFoil,236,0.49
"Turn the Tables",1,dst,nonFoil,18,0.69
"Tweeze",1,ecl,nonFoil,162,0.35
"Tweeze",1,ecl,foil,162,0.35
"Twin Bolt",1,dtk,nonFoil,164,0.35
"Typhoid Rats",1,isd,nonFoil,120,0.35
"Ukud Cobra",1,dtk,nonFoil,123,0.35
"Ultima Weapon",1,fin,nonFoil,563,7.49
"Ultimecia, Temporal Threat",1,fin,nonFoil,556,1.29
"Umaro, Raging Yeti",1,fic,nonFoil,63,0.49
"Uncivil Unrest",1,moc,nonFoil,35,24.99
"Uncovered Clues",2,dgm,nonFoil,19,0.35
"Undercity Dire Rat",4,fin,nonFoil,123,0.35
"Underwater Tunnel // Slimy Aquarium",1,dsk,nonFoil,79,0.35
"Underworld Coinsmith",1,jou,nonFoil,157,0.35
"Unexpected Assistance",1,ecl,nonFoil,80,0.35
"Unforge",1,dst,foil,71,0.35
"Universal Solvent",1,clb,nonFoil,342,0.35
"Unknown Shores",2,thb,nonFoil,249,0.35
"Unnatural Growth",1,blc,nonFoil,245,3.99
"Unquestioned Authority",1,cmr,nonFoil,389,1.79
"Unruly Mob",1,soi,nonFoil,47,0.35
"Untamed Wilds",1,7ed,nonFoil,279,0.35
"Unwavering Initiate",1,akh,nonFoil,36,0.35
"Urban Daggertooth",1,mh2,nonFoil,181,0.35
"Urban Evolution",1,c19,nonFoil,205,0.35
"Urza's Armor",1,8ed,nonFoil,318,0.59
"Urza's Mine",1,8ed,nonFoil,328,1.49
"Urza's Power Plant",1,8ed,nonFoil,329,0.99
"Urza's Tower",1,8ed,nonFoil,330,1.49
"Vaan, Street Thief",1,fin,nonFoil,168,0.49
"Valduk, Keeper of the Flame",1,dmr,nonFoil,147,0.35
"Valor Made Real",1,cns,nonFoil,86,0.35
"Valorous Stance",1,cmr,nonFoil,390,0.35
"Vampire Interloper",1,isd,nonFoil,123,0.35
"Vandalize",1,dtk,nonFoil,165,0.35
"Vaporkin",1,ths,nonFoil,72,0.35
"Vayne's Treachery",1,fin,nonFoil,124,0.35
"Vector, Imperial Capital",1,fin,nonFoil,291,0.35
"Veloheart Bike",1,dft,nonFoil,184,0.35
"Verduran Enchantress",1,8ed,nonFoil,285,2.99
"Vermin Gorger",2,mh2,nonFoil,107,0.35
"Vernal Fen",1,ecc,nonFoil,63,1.79
"Village Bell-Ringer",1,isd,nonFoil,41,0.35
"Violent Impact",1,akh,nonFoil,154,0.35
"Visara the Dreadful",1,ema,nonFoil,114,3.49
"Vizier of Remedies",1,akh,nonFoil,38,0.49
"Voice of Many",1,c19,nonFoil,36,0.35
"Voice of the Provinces",1,avr,nonFoil,40,0.35
"Volcanic Geyser",1,m13,nonFoil,154,0.35
"Voyaging Satyr",1,ths,nonFoil,182,0.35
"Vraska the Unseen",1,c19,nonFoil,207,0.99
"Vraska, Betrayal's Sting",1,ecc,nonFoil,88,1.79
"Vulshok Morningstar",1,ddi,nonFoil,66,0.35
"Wanderbrine Preacher",2,ecl,nonFoil,41,0.35
"Wanderbrine Trapper",1,ecl,nonFoil,42,0.35
"Wandertale Mentor",1,blb,nonFoil,240,0.35
"Wanderwine Distracter",1,ecl,foil,82,0.35
"Wanderwine Farewell",2,ecl,nonFoil,83,0.35
"War Flare",2,frf,nonFoil,158,0.35
"Ward of Piety",1,bok,nonFoil,28,0.35
"Warren Torchmaster",1,ecl,foil,163,0.35
"Warrior's Sword",2,fin,nonFoil,169,0.35
"Warstorm Surge",1,blc,nonFoil,117,1.49
"War-Wing Siren",2,jou,nonFoil,57,0.35
"Wax // Wane",1,inv,nonFoil,296,0.39
"Weapons Vendor",1,fin,nonFoil,40,0.35
"Welder Automaton",3,aer,nonFoil,183,0.35
"Well of Life",1,pcy,nonFoil,141,0.39
"Wetland Sambar",1,ktk,nonFoil,62,0.35
"Whirling Dervish",1,4ed,nonFoil,288,0.35
"Whirlwind Adept",2,ktk,nonFoil,63,0.35
"White Auracite",3,fin,nonFoil,41,0.35
"White Mage's Staff",3,fin,nonFoil,42,0.35
"White Sun's Zenith",1,cmr,nonFoil,391,0.69
"Whoosh!",1,spm,nonFoil,48,0.35
"Wickersmith's Tools",1,ecc,nonFoil,21,0.49
"Wild Roads",1,dft,nonFoil,269,0.35
"Wild Unraveling",2,ecl,nonFoil,84,0.35
"Wildfire Wickerfolk",1,dsk,nonFoil,239,0.35
"Wildsear, Scouring Maw",1,blc,foil,8,
"Wildvine Pummeler",2,ecl,nonFoil,203,0.35
"Wily Goblin",1,xln,nonFoil,174,0.39
"Winds of Rath",1,cmr,nonFoil,392,0.69
"Wind-Scarred Crag",1,cmr,nonFoil,502,0.35
"Wingsteed Rider",1,ths,nonFoil,36,0.35
"Winnowing",1,ecl,nonFoil,43,0.49
"Wistfulness",1,ecl,nonFoil,252,11.99
"Wojek Bodyguard",1,grn,nonFoil,120,0.35
"Wooded Ridgeline",2,blc,nonFoil,353,0.35
"Woodland Stream",1,c19,nonFoil,286,0.35
"Word of Seizing",1,cmr,nonFoil,420,0.49
"World-Weary",1,mh2,nonFoil,109,0.35
"Wormfang Turtle",1,jud,nonFoil,60,0.35
"Wyleth, Soul of Steel",1,cmr,foil,362,
"Xande, Dark Mage",1,fin,nonFoil,561,0.69
"Yoked Ox",1,ths,nonFoil,37,0.35
"Zoetic Cavern",1,mkc,nonFoil,311,0.35
